cartodb_id,the_geom,field_1,uid,feature_name,address,city,state,side,category,group_class,secondary_class_for_internal_use,year_dedicated,school_percent_black,source,notes,latitude,longitude
56,0101000020E610000093FFC9DFBD7055C060E4654D2CE84040,,19,Confederate Monument,3-75 Public Square W,Jacksonville,AL,South,Monument,Monument,,1910,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_328901&hlterm=confederate,,33.813852,-85.761589
57,0101000020E610000017E64EFA8C6155C0900E0F61FC084040,,20,Town of Midway Marker,Midway City Office Building. Railroad St.,Midway,AL,South,Monument,Monument,,2010,,http://www.waymarking.com/waymarks/WMFN36,"Pioneer Samuel Feagin Sr. settled the Village of Midway in 1836. He came from Jones County, Georgia and established his residence at what is still called “The Old Feagin Place.” Samuel purchased a large acreage of land and sold it to incoming settlers. He built a log cabin with rooms above where travelers were accommodated overnight. It was also used as a stagecoach stop for those traveling from Eufaula to Tuskegee. On July 11, 1813 the Midway Post Office was established and Samuel Feagin was the first postmaster. On February 23, 1870, the town of Midway was incorporated. The business part of Midway was originally built around a square. A fire destroyed most of this area. The settlers rebuilt their businesses and continued to grow and thrive with eight dry goods and grocery stores, two houses of entertainment, one livery, and a large manufacturing establishment for carriages and buggies. The lower section of Midway, at the Central of Georgia Railroad, was once called James, Alabama. On March 18, 1903, the Union Springs Herald stated the Town of Midway and James had grown not only in population but businesses that included a drugstore, cotton ginnery, dry goods, post office, Midway and James Bank, train station, funeral home, barber shop and town hall. A granite boulder, located was erected to commemorates the Jefferson Davis Highway and Soldiers of the Confederacy. Midway has several sites listed on the Alabama Register of Landmarks and Heritage, with one listed on the National Register of Historic Places.",32.070202,-85.5242296
58,0101000020E610000070AB6A93549855C02A920ABEC4414040,,21,Robinson Springs Camp Confederate Monument,5899 Main Street And Monument Drive,Millbrook,AL,South,Monument,Monument,,1913,,http://www.hmdb.org/marker.asp?marker=83692,,32.5138166,-86.3801621
59,0101000020E610000022DFA5D4250456C0E38C614ED0AE3E40,,22,"10"" Rifled Sea Coast Columbiad",65 Government Street,Mobile,AL,South,Monument,Monument,,2004,,http://www.hmdb.org/marker.asp?marker=86727,,30.682866,-88.064809
60,0101000020E610000022DFA5D4250456C0E38C614ED0AE3E40,,23,Admiral Raphael Semmes Statue,65 Government Street,Mobile,AL,South,Monument,Monument,,2000,,"http://www.civilwaralbum.com/misc16/mobile1.htm; http://www.americanmemorialsdirectory.com/alabama.html",,30.682866,-88.064809
61,0101000020E610000064607880829355C0F9ABB65153304040,,24,Dexter Avenue Monument,Dexter Ave.,Montgomery,AL,South,Monument,Monument,,1942,,http://www.waymarking.com/waymarks/WMD6H9,"Dexter Avenue
Formerly Market Street
This street was named to honor Andrew Dexter one of the founders of Montgomery
Along this street moved the inaugural parade of Jefferson Davis when he took the oath of office as President of the Confederate States of America February 18, 1861
Dixie was played as a band arrangement for the first time on this occasion.
Placed by by Sophie Bibb Chapter, U.D.C.",32.3775427,-86.3048402
62,0101000020E61000004BD4C1B0329355C05A000979F32E4040,,25,Robert E. Lee Statue,Robert E. Lee High School,Montgomery,AL,South,Monument,Monument,,1908,,http://www.waymarking.com/waymarks/WMD8HW_General_Robert_E_Lee_Montgomery_Alabama,,32.3668052,-86.2999689
63,0101000020E61000004BD4C1B0329355C05A000979F32E4040,,26,"John Allan Wyeth — M.D., L.L.D. Marker",S. Bainbridge St. And Dexter Ave. Near Alabama State Capitol,Montgomery,AL,South,Monument,Monument,,Unknown,,"http://www.lat34north.com/historicmarkersal/MarkerDetail.cfm?KeyID=51-131&MarkerTitle=John%20Allan%20Wyeth%20%3F%20M.D.%2C%20L.L.D.; http://www.americanmemorialsdirectory.com/alabama.html","Confederate Soldier Surgeon and Author Born Marshall County, Ala. 1845 Died New York City 1922 Founder of the New York Polyclinic Medical School and Hospital and of Graduate Medical and Surgical Teaching in America.",32.3668052,-86.2999689
64,0101000020E6100000BCAE5FB01B5855C0957B8159A1524040,,27,Confederate Monument,Monument Park. 8Th St. And Geneva Ave.,Opelika,AL,South,Monument,Monument,,1911,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_320514&hlterm=confederate,"go back and make sure it is explicitly Confederate, can't read from street view",32.645549,-85.37669
65,0101000020E6100000A393A5D6FB6855C064FB90B75C753F40,,28,Dale County Confederate Soldiers Monument,Dale County Courthouse,Ozark,AL,South,Monument,Monument,,1910,,"http://www.wpxi.com/places/ozark_dale-county-confederate-soldier-monumen/; http://www.americanmemorialsdirectory.com/alabama.html; http://capitolshots.com/courthouse-photos/alabama-courthouses/dale-county-courthouse/ ",,31.458446,-85.640371
